profession_code;profession_name;active;category;date_creation;date_creation_mistake;date_modify;date_modify_mistake;deleted;etks
107829;Аппаратчик производства казеинового клея;t;4-6;2015-04-21;0;2015-04-21;0;f;52
190436;Съемщик стекла и стеклоизделий;t;1-3;2015-04-21;0;2015-04-21;0;f;44
189481;Сушильщик изделий;t;3;2015-04-21;0;2015-04-21;0;f;66
116866;Глазуровщик электрокерамических изделий;t;2-5;2015-04-21;0;2015-04-21;0;f;45
222829;Заместитель руководителя Секретариата Заместителя Председателя Правительства Российской Федерации;t;1;2015-04-21;0;2015-04-21;0;f;
161255;Оператор установок по тепловой обработке бетона;t;3;2015-04-21;0;2015-04-21;0;f;42
118043;Дезактиваторщик;t;2-5;2015-04-21;0;2015-04-21;0;f;1
190648;Съемщик шелка-сырца;t;3;2015-04-21;0;2015-04-21;0;f;47
224558;Инженер аэрофотосъемочного производства;t;2;2015-04-21;0;2015-04-21;0;f;
147972;Наборщик игольно-платинных изделий;t;1-2;2015-04-21;0;2015-04-21;0;f;11
245268;Начальник драги;t;1;2015-04-21;0;2015-04-21;0;f;
225211;Инженер по аварийно-спасательным работам;t;2;2015-04-21;0;2015-04-21;0;f;
138136;Машинист лакировочных машин;t;2-4;2015-04-21;0;2015-04-21;0;f;13
188050;Станочник специальных металлообрабатыващих станков;t;2-6;2015-04-21;0;2015-04-21;0;f;63
168314;Полотер;t;2-3;2015-04-21;0;2015-04-21;0;f;1
208150;Главный механик (в промышленности);t;1;2015-04-21;0;2015-04-21;0;f;
195092;Хлоропроводчик;t;3-4;2015-04-21;0;2015-04-21;0;f;8
248158;Начальник порта (морского рыбного, приписного и др.);t;1;2015-04-21;0;2015-04-21;0;f;
182143;Сборщик - отдельщик катушек трансформаторов;t;2-5;2015-04-21;0;2015-04-21;0;f;19
159607;Оператор пульта управления трансбордерным и горизонтально- замкнутым конвейерами;t;4;2015-04-21;0;2015-04-21;0;f;2
158549;Оператор по нанесению газопоглотителя;t;2-4;2015-04-21;0;2015-04-21;0;f;20
133414;Лакировщик подносов;t;4;2015-04-21;0;2015-04-21;0;f;65
144832;Модельщик аэрогидродинамических моделей из неметалла;t;2-6;2015-04-21;0;2015-04-21;0;f;22
397757;Электролизник хлористого лития;t;;2015-04-21;0;2015-04-21;0;f;73
103531;Аппаратчик мерсеризации;t;2-4;2015-04-21;0;2015-04-21;0;f;47
123588;Изготовитель металлорукавов, гибких валов и бронеспиралей;t;1-3;2015-04-21;0;2015-04-21;0;f;15
145021;Модельщик стеклопластиков;t;3-6;2015-04-21;0;2015-04-21;0;f;29
332536;Лаборант аэрозольной лаборатории;t;;2015-04-21;0;2015-04-21;0;f;73
151874;Обжигальщик радиокерамики, пьезокерамики и ферритов;t;2-5;2015-04-21;0;2015-04-21;0;f;20
106690;Аппаратчик приготовления высокожирных эмульсий;t;3-4;2015-04-21;0;2015-04-21;0;f;55
145816;Монтажник оборудования зернохранилищ и предприятий по промышленной переработке зерна;t;2-6;2015-04-21;0;2015-04-21;0;f;3
107413;Аппаратчик производства адипонитрила;t;4-5;2015-04-21;0;2015-04-21;0;f;25
212966;Декан факультета;t;1;2015-04-21;0;2015-04-21;0;f;
189867;Сушильщик сырья и материалов;t;1-2;2015-04-21;0;2015-04-21;0;f;44
207497;Главный диспетчер (в прочих отраслях);t;1;2015-04-21;0;2015-04-21;0;f;
129531;Контролер изделий из камня;t;3-4;2015-04-21;0;2015-04-21;0;f;42
172461;Приемосдатчик груза и багажа в поездах;t;2;2015-04-21;0;2015-04-21;0;f;56
122087;Запарщик шерстяных изделий;t;3;2015-04-21;0;2015-04-21;0;f;47
174734;Протирщик изделий;t;1-2;2015-04-21;0;2015-04-21;0;f;27
114678;Водопроводчик доменной печи;t;3-6;2015-04-21;0;2015-04-21;0;f;7
171863;Приготовитель мелассного сусла;t;3;2015-04-21;0;2015-04-21;0;f;55
138259;Машинист линовальной машины;t;2-3;2015-04-21;0;2015-04-21;0;f;59
147417;Моторист смесителя и мешалки;t;2-3;2015-04-21;0;2015-04-21;0;f;42
271084;Техник-смотритель;t;2;2015-04-21;0;2015-04-21;0;f;
101875;Аппаратчик-гидрометаллург;t;2-6;2015-04-21;0;2015-04-21;0;f;8
115632;Выпарщик соли;t;4;2015-04-21;0;2015-04-21;0;f;55
166066;Пильщик;t;3;2015-04-21;0;2015-04-21;0;f;39
265223;Составитель лоций (руководств для плавания);t;2;2015-04-21;0;2015-04-21;0;f;
215718;Директор технический;t;1;2015-04-21;0;2015-04-21;0;f;
200322;Агент рекламный;t;3;2015-04-21;0;2015-04-21;0;f;
258179;Преподаватель (в системе дошкольного воспитания и обучения);t;2;2015-04-21;0;2015-04-21;0;f;
165256;Пересадчик сетей;t;2;2015-04-21;0;2015-04-21;0;f;47
231284;Инструктор парашютно-десантной подготовки;t;2;2015-04-21;0;2015-04-21;0;f;
206032;Геохимик;t;2;2015-04-21;0;2015-04-21;0;f;
